Word,Freq,Rank
pardon,122,1443
daily,122,1444
news,122,1445
price,122,1446
talbot,122,1447
burning,122,1448
vessel,122,1449
pull,122,1450
tender,122,1451
pocket,121,1452
sunday,121,1453
superior,121,1454
plague,121,1455
engagement,121,1456
poured,121,1457
waste,121,1458
pit,121,1459
gregory,120,1460
borne,120,1461
portion,120,1462
trying,120,1463
cook,120,1464
linen,120,1465
branches,120,1466
burned,120,1467
suburbs,120,1468
caused,120,1469
twice,120,1470
allow,120,1471
season,120,1472
cease,120,1473
shop,120,1474
knowest,120,1475
birds,120,1476
divided,120,1477
vision,120,1478
agreeable,120,1479
note,119,1480
winds,119,1481
office,119,1482
riches,119,1483
chariots,119,1484
loue,119,1485
during,119,1486
shake,119,1487
clay,119,1488
judged,119,1489
extremely,119,1490
speake,119,1491
complete,118,1492
police,118,1493
giue,118,1494
suffered,118,1495
states,118,1496
liberty,118,1497
beard,118,1498
reach,118,1499
quarter,118,1500
violence,118,1501
duty,118,1502
fly,118,1503
history,118,1504
dreadful,118,1505
garments,118,1506
circumstance,118,1507
strangers,117,1508
writing,117,1509
fury,117,1510
everlasting,117,1511
voices,117,1512
lose,117,1513
unless,117,1514
generation,117,1515
thunder,117,1516
joe,117,1517
eve,116,1518
advantage,116,1519
wonderful,116,1520
minister,116,1521
feed,116,1522
prey,116,1523
nine,116,1524
presently,116,1525
holding,116,1526
saints,116,1527
mouse,116,1528
crowd,115,1529
lad,115,1530
guess,115,1531
wherewith,115,1532
ancient,115,1533
windows,115,1534
beheld,115,1535
stick,115,1536
scene,115,1537
soldiers,115,1538
waited,115,1539
surprised,114,1540
rod,114,1541
firstborn,114,1542
salt,114,1543
modern,114,1544
goodness,114,1545
bullock,114,1546
jeroboam,114,1547
delighted,114,1548
dog,114,1549
powers,114,1550
steady,114,1551
loss,114,1552
oxen,114,1553
anybody,114,1554
uncle,114,1555
fought,114,1556
finger,114,1557
creatures,114,1558
listen,113,1559
cursed,113,1560
confess,113,1561
upright,113,1562
step,113,1563
innocent,113,1564
officers,113,1565
created,113,1566
generally,113,1567
important,113,1568
flee,113,1569
dance,113,1570
bid,113,1571
outside,112,1572
distress,112,1573
exceedingly,112,1574
path,112,1575
whenever,112,1576
thousands,112,1577
anxious,112,1578
leonora,112,1579
flask,112,1580
scattered,112,1581
tower,112,1582
increased,112,1583
latter,112,1584
blessing,112,1585
prepare,112,1586
desired,112,1587
attachment,111,1588
weight,111,1589
whilst,111,1590
stretched,111,1591
gentle,111,1592
milk,111,1593
french,111,1594
dropped,111,1595
eager,111,1596
ended,111,1597
gospel,110,1598
hal,110,1599
threw,110,1600
colour,110,1601
lines,110,1602
substance,110,1603
weak,110,1604
swift,110,1605
acquainted,110,1606
breadth,110,1607
opening,110,1608
sailor,110,1609
expect,110,1610
rolled,109,1611
mistaken,109,1612
pause,109,1613
solemn,109,1614
obey,109,1615
signs,109,1616
ram,109,1617
awake,109,1618
hung,108,1619
hamlet,108,1620
heat,108,1621
anointed,108,1622
comfortable,108,1623
separate,108,1624
established,108,1625
absalom,108,1626
spare,108,1627
committed,108,1628
driven,108,1629
chair,108,1630
purple,107,1631
troubled,107,1632
clock,107,1633
cassi,107,1634
idols,107,1635
legs,107,1636
key,107,1637
famine,107,1638
hoped,107,1639
ass,107,1640
conscience,107,1641
hor,107,1642
ile,107,1643
james,106,1644
forced,106,1645
plan,106,1646
falling,106,1647
strike,106,1648
peculiar,106,1649
wheel,106,1650
flame,106,1651
jonah,106,1652
fully,106,1653
consumed,106,1654
satisfaction,106,1655
egyptians,106,1656
arrived,106,1657
bent,105,1658
favourite,105,1659
mentioned,105,1660
landlord,105,1661
putting,105,1662
highest,105,1663
ring,104,1664
knoweth,104,1665
passion,104,1666
extraordinary,104,1667
allowed,104,1668
terror,104,1669
resolved,104,1670
faint,104,1671
pool,103,1672
mortal,103,1673
choice,103,1674
shoulders,103,1675
various,103,1676
america,103,1677
friendship,103,1678
returning,103,1679
leviathan,103,1680
shook,103,1681
doe,103,1682
dost,103,1683
breast,103,1684
mate,103,1685
queer,103,1686
convinced,103,1687
telling,102,1688
mistake,102,1689
elizabeth,102,1690
esau,102,1691
books,102,1692
ends,102,1693
folly,102,1694
begun,102,1695
persuaded,102,1696
serpent,102,1697
slow,102,1698
hopes,101,1699
pour,101,1700
admiral,101,1701
finding,101,1702
heed,101,1703
sand,101,1704
confusion,101,1705
refuse,101,1706
frightened,101,1707
dancing,101,1708
patience,101,1709
affliction,101,1710
goats,101,1711
eating,101,1712
gilead,101,1713
moving,101,1714
opposite,101,1715
astonishment,100,1716
behaviour,100,1717
canaan,100,1718
entire,100,1719
stead,100,1720
completely,100,1721
cabin,100,1722
highly,100,1723
glance,100,1724
liked,100,1725
pointed,100,1726
almighty,100,1727
floor,100,1728
secure,100,1729
beg,99,1730
school,99,1731
abide,99,1732
rent,99,1733
influence,99,1734
proved,99,1735
armed,99,1736
smiled,99,1737
wept,99,1738
risen,98,1739
fault,98,1740
wholly,98,1741
pulled,98,1742
prove,98,1743
weeks,98,1744
rocks,98,1745
cool,98,1746
savage,98,1747
considerable,98,1748
watching,98,1749
touching,98,1750
pitched,98,1751
proof,97,1752
share,97,1753
remnant,97,1754
attorney,97,1755
mention,97,1756
odd,97,1757
pillars,97,1758
bought,97,1759
shekels,97,1760
accept,97,1761
weary,97,1762
robert,97,1763
opportunity,97,1764
happen,97,1765
guard,97,1766
double,97,1767
picture,97,1768
oath,97,1769
main,97,1770
heavenly,97,1771
cheerful,97,1772
count,97,1773
utmost,97,1774
doeth,96,1775
star,96,1776
president,96,1777
royal,96,1778
madam,96,1779
nantucket,96,1780
sensible,96,1781
brain,96,1782
liveth,96,1783
womb,96,1784
excuse,96,1785
shepherd,95,1786
working,95,1787
flood,95,1788
difficulty,95,1789
value,95,1790
turns,95,1791
fingers,95,1792
solid,95,1793
perceived,95,1794
prophesy,95,1795
trumpet,95,1796
flower,95,1797
rage,94,1798
sooner,94,1799
swords,94,1800
roll,94,1801
threescore,94,1802
papa,94,1803
stands,94,1804
forehead,94,1805
hen,94,1806
whereof,94,1807
takes,94,1808
utter,94,1809
post,94,1810
stretch,94,1811
willing,94,1812
tired,94,1813
ordinary,94,1814
style,94,1815
park,93,1816
rate,93,1817
drop,93,1818
